"Alumno","Indicador 22"
"171.0606.039","2.96"
"171.0906.012","2.75"
"161.1403.695","3.12"
"201.1205.016","2.35"
"181.1606.046","4.18"
"211.3602.034","1.94"
"171.0306.052","2.54"
"191.1106.036","3.92"
"191.0706.026","3.43"
"181.1006.033","3.47"
"171.1906.007","3.63"
"171.3503.040","3.2"
"171.2405.028","3.21"
"191.3602.032","2.73"
"04.0635.9.AN","1.55"
"171.0706.095","2.76"
"201.1306.022","2.42"
"201.1405.016","2.53"
"191.1505.035","3.5"
"191.1906.031","3.7"
"201.2806.010","2.87"
"201.2806.023","2.95"
"211.0606.019","1.6"
"171.2904.038","2.94"
"181.3503.036","3.14"
"171.0606.060","2.78"
"201.0606.034","2.29"
"211.0706.004","1.42"
"201.0804.002","2.3"
"151.1503.124","2.94"
"191.1006.037","2.95"
"191.2405.008","1.42"
"191.1606.012","3.95"
"191.0906.028","2.68"
"201.0906.027","2.28"
"191.1106.017","2.76"
"191.1405.076","3.49"
"201.0906.061","1.75"
"211.0906.053","1.38"
"191.0306.060","2.32"
"201.1906.003","2.97"
"201.1606.011","2.82"
"191.3503.063","2.98"
"161.3601.457","3.34"
"161.1104.105","3.32"
"201.1306.015","2.4"
"211.2405.035","1.7"
"171.1205.036","2.93"
"161.0304.205","2.89"
"191.0804.023","3.37"
"211.0804.048","1.21"
"181.0906.046","2.65"
"171.3503.006","3.31"
"191.0506.075","0.82"
"151.1104.644","3.42"
"171.0206.023","3.01"
"211.0706.014","2.06"
"181.0706.068","2.7"
"191.1205.007","2.09"
"211.0906.104","1.53"
"201.0906.031","2.31"
"191.1405.079","2.29"
"191.1205.049","3.36"
"132.1403.124","2.57"
"102.0704.038","2.23"
"171.0804.001","2.93"
"181.0206.030","2.04"
"191.1505.040","3.54"
"181.2405.019","3.57"
"211.3602.078","3.25"
"201.0804.047","2.34"
"191.0306.049","2.43"
"191.0706.062","2.69"
"181.1505.001","3.15"
"151.1905.625","2.62"
"191.2806.036","3.7"
"211.2904.009","1.58"
"181.1405.037","3.53"
"191.1205.099","3.39"
"171.3503.022","3.74"
"181.2405.028","3.46"
"211.3503.038","1.53"
"211.2105.016","1.94"
"211.0606.009","1.8"
"151.1004.872","3.07"
"201.1205.001","2.26"
"171.2405.012","3.15"
"201.3402.023","2.62"
"191.1606.011","2.36"
"181.3402.010","3.58"
"171.3602.022","3.24"
"102.0204.453","2.44"
"191.2503.025","3.61"
"211.2503.022","1.63"
"122.0304.313","1.83"
"181.0506.060","3.78"
"161.1304.162","2.98"
"211.0306.050","1.38"
"201.1906.023","2.81"
"171.2503.033","3.19"
"211.2806.032","1.8"
"181.3503.046","3.12"
"171.1606.012","3.24"
"191.3602.019","1.43"
"211.1205.047","1.34"
"161.3601.455","1.49"
"171.0804.011","2.96"
"211.1205.007","2.38"
"171.2405.026","2.72"
"161.0403.604","2.86"
"161.1604.866","3.54"
"161.0802.830","2.65"
"181.0804.056","3.4"
"191.1405.034","1.46"
"181.1405.043","3.11"
"191.1306.027","2.56"
"171.2503.044","1.97"
"211.2806.025","2.11"
"181.3402.020","3.35"
"191.3503.061","3.25"
"201.3503.026","1.29"
"161.1304.732","3.18"
"171.1405.020","3.06"
"171.1006.001","3"
"181.3402.024","3.57"
"211.3602.008","1.16"
"121.0403.106","2.23"
"211.1306.060","1.84"
"171.3503.062","2.66"
"132.0103.267","1.83"
"151.0103.517","2.28"
"181.3602.051","3"
"161.1503.739","3.36"
"181.1505.069","3.41"
"191.3402.055","3.19"
"171.1606.072","3.64"
"111.0304.352","1.99"
"181.0405.008","3.27"
"201.0606.022","1.87"
"151.1004.870","2.86"
"132.1403.144","2.61"
"171.1606.061","3.22"
"161.1604.862","2.28"
"181.3602.001","2.6"
"211.1405.061","1.37"
"113.2403.177","2.23"
"091.0704.051","2.24"
"191.1306.087","2.59"
"211.3503.042","1.66"
"191.0906.004","2.9"
"171.1405.018","3.18"
"201.1505.021","3.47"
"171.3602.012","2.35"
"161.1604.314","3.24"
"151.0605.722","3.07"
"181.0804.033","3.27"
"161.0802.294","2.89"
"151.0904.728","2.41"
"171.0906.002","2.88"
"171.1306.069","3.28"
"191.1205.060","2.33"
"181.3602.058","1.99"
"161.0802.269","2.8"
"191.0906.046","3.05"
"191.0306.043","2.67"
"191.1205.076","3.13"
"171.2503.021","2.72"
"191.3402.034","3.08"
"191.2904.002","3.38"
"201.3602.024","2.5"
"171.0606.045","3.25"
"151.0605.497","2.58"
"091.0904.128","1.38"
"171.1306.032","3.34"
"132.3401.493","1.6"
"211.3602.015","1.36"
"211.0906.093","1.78"
